Age,EstimatedSalary,Purchased,Predicted_Class,Conversion_Probability
29,28000,0,0,1.53
29,83000,0,0,8.34
35,44000,0,0,8.18
35,25000,0,0,4.61
28,123000,1,0,21.16
35,73000,0,0,18.46
28,37000,0,0,1.66
27,88000,0,0,6.61
28,59000,0,0,3.31
32,86000,0,0,15.66
33,149000,1,1,63.4
19,21000,0,0,0.16
21,72000,0,0,1.22
26,35000,0,0,1.04
27,89000,0,0,6.81
26,86000,0,0,5.13
38,80000,0,0,34.46
39,71000,0,0,32.59
37,71000,0,0,24.26
38,61000,0,0,22.19
37,55000,0,0,16.07
42,80000,0,1,54.48
40,57000,0,0,27.45
35,75000,0,0,19.45
36,52000,0,0,12.4
40,59000,0,0,28.75
41,59000,0,0,33.14
36,75000,0,0,22.88
37,72000,0,0,24.86
40,75000,0,0,40.31
35,53000,0,0,10.63
41,51000,0,0,27.7
39,61000,0,0,25.95
42,65000,0,0,42.48
26,32000,0,0,0.94
30,17000,0,0,1.32
26,84000,0,0,4.82
31,58000,0,0,5.78
33,31000,0,0,3.74
30,87000,0,0,11.28
21,68000,0,0,1.07
28,55000,0,0,2.92
23,63000,0,0,1.37
20,82000,0,0,1.36
30,107000,1,0,19.48
28,59000,0,0,3.31
19,25000,0,0,0.18
19,85000,0,0,1.23
18,68000,0,0,0.58
35,59000,0,0,12.61
30,89000,0,0,11.94
34,25000,0,0,3.78
24,89000,0,0,3.8
27,96000,1,0,8.39
41,30000,0,0,16.31
29,61000,0,0,4.29
20,74000,0,0,1.06
26,15000,0,0,0.55
41,45000,0,0,24.0
31,76000,0,0,9.87
36,50000,0,0,11.71
40,47000,0,0,21.52
31,15000,0,0,1.51
46,59000,0,1,58.09
29,75000,0,0,6.57
26,30000,0,0,0.88
32,135000,1,0,47.33
32,100000,1,0,22.56
25,90000,0,0,4.77
37,33000,0,0,8.62
35,38000,0,0,6.84
33,69000,0,0,11.66
18,86000,0,0,1.03
22,55000,0,0,0.87
35,71000,0,0,17.51
29,148000,1,0,42.43
29,47000,0,0,2.78
21,88000,0,0,2.02
34,115000,0,0,41.6
26,118000,0,0,13.15
34,43000,0,0,6.56
34,72000,0,0,15.15
23,28000,0,0,0.45
35,47000,0,0,8.93
25,22000,0,0,0.56
24,23000,0,0,0.47
31,34000,0,0,2.76
26,16000,0,0,0.56
31,71000,0,0,8.53
32,117000,1,0,33.49
33,43000,0,0,5.41
33,60000,0,0,8.99
31,66000,0,0,7.36
20,82000,0,0,1.36
33,41000,0,0,5.09
35,72000,0,0,17.98
28,32000,0,0,1.41
24,84000,0,0,3.25
19,26000,0,0,0.19
29,43000,0,0,2.45
19,70000,0,0,0.76
28,89000,0,0,8.24
34,43000,0,0,6.56
30,79000,0,0,8.94
20,36000,0,0,0.31
26,80000,0,0,4.27
35,22000,0,0,4.2
35,39000,0,0,7.05
49,74000,0,1,80.63
39,134000,1,1,78.59
41,71000,0,0,42.17
58,101000,1,1,98.44
47,47000,0,1,53.64
55,130000,1,1,98.86
52,114000,0,1,96.55
40,142000,1,1,85.37
46,22000,0,0,29.64
48,96000,1,1,87.31
52,150000,1,1,98.89
59,42000,0,1,92.08
35,58000,0,0,12.26
47,43000,0,1,50.43
60,108000,1,1,99.17
49,65000,0,1,75.7
40,78000,0,0,42.65
46,96000,0,1,82.01
59,143000,1,1,99.67
41,80000,0,0,49.35
35,91000,1,0,28.78
37,144000,1,1,77.05
60,102000,1,1,98.99
35,60000,0,0,12.97
37,53000,0,0,15.22
36,126000,1,1,60.5
56,133000,1,1,99.15
40,72000,0,0,38.01
42,80000,1,1,54.48
35,147000,1,1,71.02
39,42000,0,0,15.97
40,107000,1,1,65.42
49,86000,1,1,85.96
38,112000,0,1,59.55
46,79000,1,1,72.51
40,57000,0,0,27.45
37,80000,0,0,29.97
46,82000,0,1,74.4
53,143000,1,1,98.87
42,149000,1,1,91.69
38,59000,0,0,21.1
50,88000,1,1,88.92
56,104000,1,1,97.88
41,72000,0,0,42.96
51,146000,1,1,98.46
35,50000,0,0,9.75
57,122000,1,1,99.02
41,52000,0,0,28.35
35,97000,1,0,32.9
44,39000,0,0,32.55
37,52000,0,0,14.81
48,134000,1,1,95.9
37,146000,1,1,78.17
50,44000,0,1,66.07
52,90000,1,1,92.81
41,72000,0,0,42.96
40,57000,0,0,27.45
58,95000,1,1,98.12
45,131000,1,1,91.97
35,77000,0,0,20.48
36,144000,1,1,73.21
55,125000,1,1,98.66
35,72000,0,0,17.98
48,90000,1,1,85.01
42,108000,1,1,74.67
40,75000,0,0,40.31
37,74000,0,0,26.08
47,144000,1,1,96.33
40,61000,0,0,30.09
43,133000,0,1,89.0
59,76000,1,1,97.2
60,42000,1,1,93.45
39,106000,1,1,59.86
57,26000,1,1,82.15
57,74000,1,1,95.57
38,71000,0,0,28.24
49,88000,1,1,86.72
52,38000,1,1,70.77
50,36000,1,1,60.08
59,88000,1,1,98.08
35,61000,0,0,13.34
37,70000,1,0,23.68
52,21000,1,1,58.35
48,141000,0,1,96.7
37,93000,1,0,39.41
37,62000,0,0,19.34
48,138000,1,1,96.37
41,79000,0,0,48.55
37,78000,1,0,28.64
39,134000,1,1,78.59
49,89000,1,1,87.09
55,39000,1,1,82.25
37,77000,0,0,27.99
35,57000,0,0,11.92
36,63000,0,0,16.78
42,73000,1,0,48.86
43,112000,1,1,80.46
45,79000,0,1,68.23
46,117000,1,1,89.96
58,38000,1,1,89.27
48,74000,1,1,77.21
37,137000,1,1,72.83
37,79000,1,0,29.3
40,60000,0,0,29.41
42,54000,0,0,34.14
51,134000,0,1,97.74
47,113000,1,1,90.64
36,125000,1,1,59.73
38,50000,0,0,16.68
42,70000,0,0,46.45
39,96000,1,1,51.94
38,50000,0,0,16.68
49,141000,1,1,97.29
39,79000,0,0,38.47
39,75000,1,0,35.47
54,104000,1,1,96.83
35,55000,0,0,11.26
45,32000,1,0,32.12
36,60000,0,0,15.47
52,138000,1,1,98.37
53,82000,1,1,92.46
41,52000,0,0,28.35
48,30000,1,0,45.12
48,131000,1,1,95.5
41,60000,0,0,33.86
41,72000,0,0,42.96
42,75000,0,1,50.47
36,118000,1,1,54.21
47,107000,1,1,88.86
38,51000,0,0,17.13
48,119000,1,1,93.52
42,65000,0,0,42.48
40,65000,0,0,32.86
57,60000,1,1,93.22
36,54000,0,0,13.11
58,144000,1,1,99.6
35,79000,0,0,21.55
38,55000,0,0,19.04
39,122000,1,1,71.39
53,104000,1,1,96.14
35,75000,0,0,19.45
38,65000,0,0,24.49
47,51000,1,1,56.82
47,105000,1,1,88.21
41,63000,0,0,36.05
53,72000,1,1,89.88
54,108000,1,1,97.2
39,77000,0,0,36.96
38,61000,0,0,22.19
38,113000,1,1,60.33
37,75000,0,0,26.71
42,90000,1,1,62.28
37,57000,0,0,16.95
36,99000,1,0,39.11
60,34000,1,1,91.69
54,70000,1,1,91.1
41,72000,0,0,42.96
40,71000,1,0,37.25
42,54000,0,0,34.14
43,129000,1,1,87.68
53,34000,1,1,72.34
47,50000,1,1,56.03
42,79000,0,1,53.68
42,104000,1,1,72.15
59,29000,1,1,88.44
58,47000,1,1,91.74
46,88000,1,1,77.9
38,71000,0,0,28.24
54,26000,1,1,71.29
60,46000,1,1,94.2
60,83000,1,1,98.16
39,73000,0,0,34.02
59,130000,1,1,99.5
37,80000,0,0,29.97
46,32000,1,0,36.76
46,74000,0,1,69.19
42,53000,0,0,33.42
41,87000,1,1,54.97
58,23000,1,1,83.69
42,64000,0,0,41.7
48,33000,1,0,47.52
44,139000,1,1,92.34
49,28000,1,0,48.64
57,33000,1,1,85.22
56,60000,1,1,91.8
49,39000,1,1,57.44
39,71000,0,0,32.59
47,34000,1,0,43.23
48,35000,1,0,49.13
48,33000,1,0,47.52
47,23000,1,0,34.83
45,45000,1,0,41.83
60,42000,1,1,93.45
39,59000,0,0,24.73
46,41000,1,0,43.71
51,23000,1,1,54.89
50,20000,1,0,47.35
36,33000,0,0,7.13
49,36000,1,1,55.06
